true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_monthly,half_normal,strong,1.0,0.05718210692269186
0.0,aggregate_monthly,half_normal,strong,1.25,0.05947679348207067
0.0,aggregate_monthly,half_normal,strong,1.5,0.032977075917331664
0.0,aggregate_monthly,half_normal,strong,1.75,0.000504951690480199
0.0,aggregate_monthly,half_normal,strong,2.0,0.004288048315689418
0.0,aggregate_monthly,half_normal,strong,2.25,0.0019969011664788755
0.0,aggregate_monthly,half_normal,strong,2.5,0.001045828604918785
0.0,aggregate_monthly,half_normal,strong,2.75,0.0003908093045606624
0.0,aggregate_monthly,half_normal,strong,3.0,0.03333342415384367
0.0,aggregate_monthly,half_normal,strong,3.25,8.826244905419588e-6
0.0,aggregate_monthly,half_normal,strong,3.5,3.195911814240565e-5
0.0,aggregate_monthly,exponential,weak,0.0,0.1934692292795797
0.0,aggregate_monthly,exponential,weak,0.25,0.13109547636277427
0.0,aggregate_monthly,exponential,weak,0.5,0.1079750579322132
0.0,aggregate_monthly,exponential,weak,0.75,0.21082887228993435
0.0,aggregate_monthly,exponential,weak,1.0,0.024237832782439003
0.0,aggregate_monthly,exponential,weak,1.25,0.11592827264784995
0.0,aggregate_monthly,exponential,weak,1.5,0.03265735906381875
0.0,aggregate_monthly,exponential,weak,1.75,0.000753156685676186
0.0,aggregate_monthly,exponential,weak,2.0,0.016484531587458096
0.0,aggregate_monthly,exponential,weak,2.25,0.04414066700554646
0.0,aggregate_monthly,exponential,weak,2.5,0.04895124686273859
0.0,aggregate_monthly,exponential,weak,2.75,0.010004260666764384
0.0,aggregate_monthly,exponential,weak,3.0,0.03335541298457243
0.0,aggregate_monthly,exponential,weak,3.25,0.0020509403850334923
0.0,aggregate_monthly,exponential,weak,3.5,0.028067683463601036
0.0,aggregate_monthly,exponential,moderate,0.0,0.2882605268052584
0.0,aggregate_monthly,exponential,moderate,0.25,0.16642698246085413
0.0,aggregate_monthly,exponential,moderate,0.5,0.11433170037844606
0.0,aggregate_monthly,exponential,moderate,0.75,0.18956804418597295
0.0,aggregate_monthly,exponential,moderate,1.0,0.02898322287264417
0.0,aggregate_monthly,exponential,moderate,1.25,0.07480978106970329
0.0,aggregate_monthly,exponential,moderate,1.5,0.03276006132417703
0.0,aggregate_monthly,exponential,moderate,1.75,0.0006991498786201725
0.0,aggregate_monthly,exponential,moderate,2.0,0.010401934520048653
0.0,aggregate_monthly,exponential,moderate,2.25,0.01713825306662135
0.0,aggregate_monthly,exponential,moderate,2.5,0.018179824093467887
0.0,aggregate_monthly,exponential,moderate,2.75,0.007325513067528986
0.0,aggregate_monthly,exponential,moderate,3.0,0.0333414477067642
0.0,aggregate_monthly,exponential,moderate,3.25,0.0013161073728531103
0.0,aggregate_monthly,exponential,moderate,3.5,0.016457451197039594
0.0,aggregate_monthly,exponential,strong,0.0,0.42079994019437733
0.0,aggregate_monthly,exponential,strong,0.25,0.193241199999845
0.0,aggregate_monthly,exponential,strong,0.5,0.10136994975053445
0.0,aggregate_monthly,exponential,strong,0.75,0.12982259122321063
0.0,aggregate_monthly,exponential,strong,1.0,0.037641685837326806
0.0,aggregate_monthly,exponential,strong,1.25,0.03134300630593488
0.0,aggregate_monthly,exponential,strong,1.5,0.03288125273429727
0.0,aggregate_monthly,exponential,strong,1.75,0.0006009471816079809
0.0,aggregate_monthly,exponential,strong,2.0,0.005710895101007669
0.0,aggregate_monthly,exponential,strong,2.25,0.0033356850037680645
0.0,aggregate_monthly,exponential,strong,2.5,0.0030872791476072373
0.0,aggregate_monthly,exponential,strong,2.75,0.0029439528586759564
0.0,aggregate_monthly,exponential,strong,3.0,0.03333515204324627
0.0,aggregate_monthly,exponential,strong,3.25,0.0003584917198945873
0.0,aggregate_monthly,exponential,strong,3.5,0.003527970898665941
0.0,aggregate_monthly,spike_slab,weak,0.0,0.36621437423465875
0.0,aggregate_monthly,spike_slab,weak,0.25,0.091823441847701
0.0,aggregate_monthly,spike_slab,weak,0.5,0.08013172556149063
0.0,aggregate_monthly,spike_slab,weak,0.75,0.16144698389938603
0.0,aggregate_monthly,spike_slab,weak,1.0,0.022220286165032906
0.0,aggregate_monthly,spike_slab,weak,1.25,0.09272369162486234
0.0,aggregate_monthly,spike_slab,weak,1.5,0.03266961820991665
0.0,aggregate_monthly,spike_slab,weak,1.75,0.0007641753585505422
0.0,aggregate_monthly,spike_slab,weak,2.0,0.01450132741078425
0.0,aggregate_monthly,spike_slab,weak,2.25,0.03367593314914551
0.0,aggregate_monthly,spike_slab,weak,2.5,0.036323733013703466
0.0,aggregate_monthly,spike_slab,weak,2.75,0.009708004810912196
0.0,aggregate_monthly,spike_slab,weak,3.0,0.03334892327496033
0.0,aggregate_monthly,spike_slab,weak,3.25,0.0017940368328987627
0.0,aggregate_monthly,spike_slab,weak,3.5,0.02265374460599664
0.0,aggregate_monthly,spike_slab,moderate,0.0,0.598187411564394
0.0,aggregate_monthly,spike_slab,moderate,0.25,0.050794393147613776
